Sensor_ID,Entity_ID,Sensor_Type_Threshold_,Sensor_Reading,Status,Lower_Non_Recoverable,Lower_Critical,Lower_Non_Critical,Upper_Non_Critical,Upper_Critical,Upper_Non_Recoverable,Positive_Hysteresis,Negative_Hysteresis,Assertion_Events,Assertions_Enabled,Deassertions_Enabled,Time_elapsed
CPU2 Power,215.2,Unknown,22,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,72.27772
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,72.71836
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,73.24243
Total Power,215.0,Unknown,252,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,73.70996
CPU1 Power,215.1,Unknown,33,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,74.17035
CPU2 Power,215.2,Unknown,22,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,74.69811
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,75.10179
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,75.31762
Total Power,215.0,Unknown,238,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,75.73775
CPU1 Power,215.1,Unknown,28,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,75.98169
CPU2 Power,215.2,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,76.43388
PCIE CPU1 Pwr,215.3,Unknown,24,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,76.84240
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,77.35365
Total Power,215.0,Unknown,238,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,77.79740
CPU1 Power,215.1,Unknown,33,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,78.12158
CPU2 Power,215.2,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,78.37318
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,78.61309
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,78.88936
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,79.20072
CPU1 Power,215.1,Unknown,33,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,79.46897
CPU2 Power,215.2,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,79.66988
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,79.88498
PCIE CPU2 Pwr,215.4,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,80.08120
Total Power,215.0,Unknown,245,ok,0.000,0.000,0.000,1785.000,1785.000,1785.000,Unspecified,Unspecified,,,80.26572
CPU1 Power,215.1,Unknown,33,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,80.58902
CPU2 Power,215.2,Unknown,11,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,80.91687
PCIE CPU1 Pwr,215.3,Unknown,25,ok,0.000,0.000,0.000,255.000,255.000,255.000,Unspecified,Unspecified,,,81.16190
